,locus_tag,Hydra_tpm,Hydra.1_tpm,Hydra.2_tpm,Hydra.3_tpm,Hydra.4_tpm,Liquid_tpm,Liquid.1_tpm,Liquid.2_tpm,Liquid.3_tpm,Liquid.4_tpm
3544,AEP_RS18685,299.2932063535256,269.69928853125526,269.5331536644195,265.60981834320484,314.6041194401916,454.1918168178227,412.78539547912874,470.032505472143,373.5196725943001,380.2542383544496
3545,AEP_RS18690,115.51454514699789,99.2348900033306,200.75660176602673,52.62394525924745,140.98665263305605,225.2939238344342,212.44346144114618,239.23540227333757,250.25842928661174,283.5429429668012
3546,AEP_RS18695,133.0347460818896,81.31884203555508,57.80138662672235,75.7568363629269,76.9122153181548,82.38295766981682,69.38447420905058,69.21031771914433,100.56333295949268,92.51603692685471
3547,AEP_RS18700,41.26835424709334,73.63177705068624,129.09898218829662,96.68705731842594,71.5762003798139,101.59264205505217,80.33391419363986,78.66704727783235,99.79034832420973,113.6901402188936
3548,AEP_RS18705,96.19055060567854,76.27777647382118,150.45550526405572,106.42165881424019,105.04346961977646,110.31540350171025,81.64827342776678,76.20961593338426,90.79617748825115,89.87916205522964
3549,AEP_RS18710,100.05900275687365,134.88718941020272,198.24132183670764,78.14228530375492,111.83896635783763,104.35588921686599,75.872484247932,73.67164414515213,90.12357560877818,85.95526810350968
3550,AEP_RS18715,111.65159919278328,132.8072613039346,29.10645876737216,103.54485021884288,155.99545145704857,374.95833086314684,333.1231940259912,404.88309431025533,438.9008520556983,411.315903981591
3551,AEP_RS18720,358.3830763563369,198.93497659308213,137.0261126735429,209.91269023079317,165.75541140588484,169.8149679499794,168.8659190799293,215.3381032639743,236.08619769229867,257.9975636853648
3552,AEP_RS18725,168.45871167270528,180.34032894836042,70.26481061810935,164.4498289351483,162.32015928147905,178.78162988151874,209.71982732010588,311.48770497333885,294.5544996934776,304.332478790555
3553,AEP_RS18730,144.35290439569053,400.64449958216255,489.20771911520484,267.74358759516696,319.9133381922506,315.9527582952228,237.09428754953439,327.83936511018715,394.3056410306369,432.22044805008596
3554,AEP_RS18735,350.6132535627036,486.5550579275247,255.9238630643333,342.269562661772,351.35056265935754,596.1514749330992,428.5538644306199,324.14980680152337,338.52681965168455,309.65332333644466
3555,AEP_RS18740,123.56856787453451,53.89349106638894,128.85237477246417,38.60094551967721,114.30315858170856,81.4964692040338,79.85414294958008,75.52332385375493,79.15279878827205,92.03734380659384
3556,AEP_RS18745,195.39029858737075,88.53817420262307,203.7452113716051,92.64539230106993,48.41238148667025,29.80399418342155,26.378176103527995,30.594862157325245,40.11651400671828,41.76023915970302
3557,AEP_RS18750,0.0,57.96249116231045,57.164591689309304,92.76085266036839,98.60261879064758,188.41420770757276,172.48082439195642,126.92457242666895,148.53632116828925,126.55219004237094
3558,AEP_RS18760,143.75143396070848,62.69609460723246,44.969478795589986,44.905766621224494,60.945809138219325,58.91557234035957,48.48213995938253,57.887474518756584,50.148023310416065,50.760019733448694
3559,AEP_RS18765,94.26323538407114,18.687360538668393,98.29394272260106,119.62601763850785,63.57983069560883,32.40610644260502,33.07176452284868,40.99122746987322,32.36134415398207,45.49238110470027
3560,AEP_RS18770,0.0,22.798579857175444,59.959305060786654,0.0,110.81056206948968,142.63770145560736,221.91153994831467,162.35895220053624,118.19729699569947,116.55148039024212
3561,AEP_RS18775,123.34137336771718,115.27371837897695,73.49455165775689,101.4851978033291,62.81906225594154,68.77073084458132,62.7169198150111,80.8740336112238,67.96849299984966,77.27722005299323
3562,AEP_RS18780,169.11933407142175,0.0,88.1754486188039,16.509473022509003,16.295670892572012,74.55647118923213,74.64680056912431,68.00216724706003,72.12429643379271,75.15720461672359
3563,AEP_RS18785,50.145849056061095,139.17737703508263,130.72522905694763,58.74300866148552,106.300829892243,117.09199582332785,106.69551637697732,139.50108676341333,129.81115376168142,133.911584612266
3564,AEP_RS18790,0.0,11.671627913229747,30.695889962860058,28.736625397541268,28.36447834543251,22.779911884789644,13.659443422599015,32.09021498757736,18.0778441300264,22.730664142416796
3565,AEP_RS18795,0.0,26.133743286063545,9.818663492486897,22.060693209116835,29.033335040040967,5.280871802514417,5.754598834603301,5.272560080582335,3.935340977904977,4.922961001095431
